"","X","time","value"
"1",1,1821,269
"2",2,1822,321
"3",3,1823,585
"4",4,1824,871
"5",5,1825,1475
"6",6,1826,2821
"7",7,1827,3928
"8",8,1828,5943
"9",9,1829,4950
"10",10,1830,2577
"11",11,1831,523
"12",12,1832,98
"13",13,1833,184
"14",14,1834,279
"15",15,1835,409
"16",16,1836,2285
"17",17,1837,2685
"18",18,1838,3409
"19",19,1839,1824
"20",20,1840,409
"21",21,1841,151
"22",22,1842,45
"23",23,1843,68
"24",24,1844,213
"25",25,1845,546
"26",26,1846,1033
"27",27,1847,2129
"28",28,1848,2536
"29",29,1849,957
"30",30,1850,361
"31",31,1851,377
"32",32,1852,225
"33",33,1853,360
"34",34,1854,731
"35",35,1855,1638
"36",36,1856,2725
"37",37,1857,2871
"38",38,1858,2119
"39",39,1859,684
"40",40,1860,299
"41",41,1861,236
"42",42,1862,245
"43",43,1863,552
"44",44,1864,1623
"45",45,1865,3311
"46",46,1866,6721
"47",47,1867,4254
"48",48,1868,687
"49",49,1869,255
"50",50,1870,473
"51",51,1871,358
"52",52,1872,784
"53",53,1873,1594
"54",54,1874,1676
"55",55,1875,2251
"56",56,1876,1426
"57",57,1877,756
"58",58,1878,299
"59",59,1879,201
"60",60,1880,229
"61",61,1881,469
"62",62,1882,736
"63",63,1883,2042
"64",64,1884,2811
"65",65,1885,4431
"66",66,1886,2511
"67",67,1887,389
"68",68,1888,73
"69",69,1889,39
"70",70,1890,49
"71",71,1891,59
"72",72,1892,188
"73",73,1893,377
"74",74,1894,1292
"75",75,1895,4031
"76",76,1896,3495
"77",77,1897,587
"78",78,1898,105
"79",79,1899,153
"80",80,1900,387
"81",81,1901,758
"82",82,1902,1307
"83",83,1903,3465
"84",84,1904,6991
"85",85,1905,6313
"86",86,1906,3794
"87",87,1907,1836
"88",88,1908,345
"89",89,1909,382
"90",90,1910,808
"91",91,1911,1388
"92",92,1912,2713
"93",93,1913,3800
"94",94,1914,3091
"95",95,1915,2985
"96",96,1916,3790
"97",97,1917,674
"98",98,1918,81
"99",99,1919,80
"100",100,1920,108
"101",101,1921,229
"102",102,1922,399
"103",103,1923,1132
"104",104,1924,2432
"105",105,1925,3574
"106",106,1926,2935
"107",107,1927,1537
"108",108,1928,529
"109",109,1929,485
"110",110,1930,662
"111",111,1931,1000
"112",112,1932,1590
"113",113,1933,2657
"114",114,1934,3396
