EndDt_DtFin,MjrCmdtyEn_PrdtPrncplAn,MjCmdtyFr_PrdtPrncplFr,CtgryEn_CtgrieAn,CtgryFr_CtgrieFr,NumHd_NmbTetes
1998-01-24,Calves,Veaux,Female,Femelle,4834
1998-01-24,Calves,Veaux,Male,Male,18627
1998-01-24,Cattle,Bovins,Bulls,Taureaux,1618
1998-01-24,Cattle,Bovins,Cows,Vaches,49722
1998-01-24,Cattle,Bovins,Heifers,Genisses,73843
1998-01-24,Cattle,Bovins,Steers,Bouvillons,117845
1998-01-24,Hogs,Porcs,Hogs,Porcs,1130512
1998-01-24,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,19162
1998-02-21,Calves,Veaux,Female,Femelle,5520
1998-02-21,Calves,Veaux,Male,Male,19583
1998-02-21,Cattle,Bovins,Bulls,Taureaux,2113
1998-02-21,Cattle,Bovins,Cows,Vaches,52195
1998-02-21,Cattle,Bovins,Heifers,Genisses,89201
1998-02-21,Cattle,Bovins,Steers,Bouvillons,104770
1998-02-21,Hogs,Porcs,Hogs,Porcs,1235765
1998-02-21,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,18864
1998-03-28,Calves,Veaux,Female,Femelle,6159
1998-03-28,Calves,Veaux,Male,Male,24242
1998-03-28,Cattle,Bovins,Bulls,Taureaux,3154
1998-03-28,Cattle,Bovins,Cows,Vaches,56594
1998-03-28,Cattle,Bovins,Heifers,Genisses,111321
1998-03-28,Cattle,Bovins,Steers,Bouvillons,125509
1998-03-28,Hogs,Porcs,Hogs,Porcs,1545524
1998-03-28,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,23871
1998-04-25,Calves,Veaux,Female,Femelle,5039
1998-04-25,Calves,Veaux,Male,Male,21733
1998-04-25,Cattle,Bovins,Bulls,Taureaux,2650
1998-04-25,Cattle,Bovins,Cows,Vaches,42889
1998-04-25,Cattle,Bovins,Heifers,Genisses,80783
1998-04-25,Cattle,Bovins,Steers,Bouvillons,118968
1998-04-25,Hogs,Porcs,Hogs,Porcs,1225947
1998-04-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,43534
1998-05-23,Calves,Veaux,Female,Femelle,4606
1998-05-23,Calves,Veaux,Male,Male,20158
1998-05-23,Cattle,Bovins,Bulls,Taureaux,3015
1998-05-23,Cattle,Bovins,Cows,Vaches,42071
1998-05-23,Cattle,Bovins,Heifers,Genisses,76137
1998-05-23,Cattle,Bovins,Steers,Bouvillons,142747
1998-05-23,Hogs,Porcs,Hogs,Porcs,1157182
1998-05-23,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,21541
1998-06-27,Calves,Veaux,Female,Femelle,5372
1998-06-27,Calves,Veaux,Male,Male,24329
1998-06-27,Cattle,Bovins,Bulls,Taureaux,3877
1998-06-27,Cattle,Bovins,Cows,Vaches,52010
1998-06-27,Cattle,Bovins,Heifers,Genisses,87441
1998-06-27,Cattle,Bovins,Steers,Bouvillons,191606
1998-06-27,Hogs,Porcs,Hogs,Porcs,1482642
1998-06-27,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,26919
1998-07-25,Calves,Veaux,Female,Femelle,3768
1998-07-25,Calves,Veaux,Male,Male,20228
1998-07-25,Cattle,Bovins,Bulls,Taureaux,2428
1998-07-25,Cattle,Bovins,Cows,Vaches,32746
1998-07-25,Cattle,Bovins,Heifers,Genisses,70245
1998-07-25,Cattle,Bovins,Steers,Bouvillons,144233
1998-07-25,Hogs,Porcs,Hogs,Porcs,1179320
1998-07-25,Sheep/Lamb,Moutons/agneaux,Sheep/Lamb,Moutons/agneaux,25460
1998-08-22,Calves,Veaux,Female,Femelle,3920
1998-08-22,Calves,Veaux,Male,Male,20383
1998-08-22,Cattle,Bovins,Bulls,Taureaux,3168
