,Station Id,Station Name,lat,lon,geometry
0,7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954,POINT (-79.395954 43.639832)
1,7001,Lower Jarvis St / The Esplanade,43.64783,-79.370698,POINT (-79.370698 43.64783)
2,7002,St. George St / Bloor St W,43.667333,-79.399429,POINT (-79.399429 43.667333)
3,7003,Madison Ave / Bloor St W,43.667158,-79.402761,POINT (-79.402761 43.667158)
4,7004,University Ave / Elm St,43.656518,-79.389099,POINT (-79.389099 43.656518)
5,7005,King St W / York St,43.6480008,-79.383177,POINT (-79.383177 43.6480008)
6,7006,Bay St / College St (East Side),43.660439,-79.385525,POINT (-79.385525 43.660439)
7,7007,College St / Huron St,43.658148,-79.398167,POINT (-79.398167 43.658148)
8,7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,POINT (-79.39212499999999 43.663376)
9,7009,King St E / Jarvis St,43.650325,-79.372287,POINT (-79.372287 43.650325)
10,7010,King St W / Spadina Ave,43.645323,-79.395003,POINT (-79.395003 43.645323)
11,7011,Wellington St W / Portland St,43.642982,-79.399256,POINT (-79.39925599999999 43.642982)
12,7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327,POINT (-79.385327 43.656026)
13,7013,Scott St / The Esplanade,43.64656,-79.375274,POINT (-79.375274 43.64656)
14,7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,POINT (-79.373181 43.663102)
15,7015,King St W / Bay St (West Side),43.64852,-79.380576,POINT (-79.380576 43.64852)
16,7016,Bay St / Queens Quay W (Ferry Terminal),43.640823,-79.376265,POINT (-79.376265 43.640823)
17,7017,Widmer St / Adelaide St W,43.6475076,-79.3914841,POINT (-79.3914841 43.6475076)
18,7018,Bremner Blvd / Rees St,43.641529,-79.386741,POINT (-79.386741 43.641529)
19,7019,Temperance St. Station,43.6507021,-79.3800546,POINT (-79.38005459999999 43.6507021)
20,7020,Phoebe St / Spadina Ave,43.650033,-79.396555,POINT (-79.39655500000001 43.650033)
21,7021,Bay St / Albert St,43.653264,-79.382458,POINT (-79.382458 43.653264)
22,7022,Simcoe St / Queen St W,43.650858,-79.387582,POINT (-79.38758199999999 43.650858)
23,7023,College St / Borden St,43.6571,-79.4056,POINT (-79.40560000000001 43.6571)
24,7024,Dundonald St / Church St,43.66663,-79.38148,POINT (-79.38148 43.66663)
25,7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471,POINT (-79.380471 43.671293)
26,7026,Bay St / St. Joseph St,43.665527,-79.387499,POINT (-79.38749900000001 43.665527)
