Date,Sessions
3/31/2019,68335
3/30/2019,60763
3/29/2019,113197
3/28/2019,133210
3/27/2019,134408
3/26/2019,138665
3/25/2019,149040
3/24/2019,68399
3/23/2019,69993
3/22/2019,126321
3/21/2019,127891
3/20/2019,134131
3/19/2019,138464
3/18/2019,138285
3/17/2019,62936
3/16/2019,61905
3/15/2019,112140
3/14/2019,128995
3/13/2019,134476
3/12/2019,137474
3/11/2019,143654
3/10/2019,66743
3/9/2019,65528
3/8/2019,115855
3/7/2019,131038
3/6/2019,137232
3/5/2019,135191
3/4/2019,138215
3/3/2019,66821
3/2/2019,61803
3/1/2019,113094
2/28/2019,129354
2/27/2019,129405
2/26/2019,142241
2/25/2019,143801
2/24/2019,68469
2/23/2019,64402
2/22/2019,119184
2/21/2019,135829
2/20/2019,139675
2/19/2019,142353
2/18/2019,121350
2/17/2019,66777
2/16/2019,66348
2/15/2019,116097
2/14/2019,124311
2/13/2019,134289
2/12/2019,138609
2/11/2019,143717
2/10/2019,70616
2/9/2019,69565
2/8/2019,122860
2/7/2019,143011
2/6/2019,136100
2/5/2019,143844
2/4/2019,146686
2/3/2019,59835
2/2/2019,59543
2/1/2019,113859
1/31/2019,32388
1/30/2019,33588
1/29/2019,35795
1/28/2019,36067
1/27/2019,23614
1/26/2019,22391
1/25/2019,29536
1/24/2019,32003
1/23/2019,33775
1/22/2019,34452
1/21/2019,30400
1/20/2019,23130
1/19/2019,22321
1/18/2019,30095
1/17/2019,34502
1/16/2019,35032
1/15/2019,34766
1/14/2019,34829
1/13/2019,23172
1/12/2019,22101
1/11/2019,29953
1/10/2019,31919
1/9/2019,32059
1/8/2019,33975
1/7/2019,36120
1/6/2019,24521
1/5/2019,25006
1/4/2019,32779
1/3/2019,36010
1/2/2019,36890
1/1/2019,26010
12/31/2018,26966
12/30/2018,22552
12/29/2018,21116
12/28/2018,28323
12/27/2018,31979
12/26/2018,31292
12/25/2018,17036
12/24/2018,15532
12/23/2018,17421
12/22/2018,17920
12/21/2018,23780
12/20/2018,26722
12/19/2018,27856
12/18/2018,28527
12/17/2018,30652
12/16/2018,19605
12/15/2018,18591
12/14/2018,25532
12/13/2018,29559
12/12/2018,29427
12/11/2018,30717
12/10/2018,30814
12/9/2018,19610
12/8/2018,18046
12/7/2018,25333
12/6/2018,28312
12/5/2018,29581
12/4/2018,30606
12/3/2018,31396
12/2/2018,20696
12/1/2018,19827
11/30/2018,27227
11/29/2018,29628
11/28/2018,29803
11/27/2018,31580
11/26/2018,33153
11/25/2018,23220
11/24/2018,20298
11/23/2018,20309
11/22/2018,14750
11/21/2018,25452
11/20/2018,30058
11/19/2018,30707
11/18/2018,20442
11/17/2018,17016
11/16/2018,27240
11/15/2018,31661
11/14/2018,31503
11/13/2018,32673
11/12/2018,30256
11/11/2018,19991
11/10/2018,19545
11/9/2018,26710
11/8/2018,31231
11/7/2018,32868
11/6/2018,35666
11/5/2018,35040
11/4/2018,24612
11/3/2018,22516
11/2/2018,32409
11/1/2018,34317
10/31/2018,30895
10/30/2018,34738
10/29/2018,37284
10/28/2018,43516
10/27/2018,29124
10/26/2018,36516
10/25/2018,49126
10/24/2018,47710
10/23/2018,58641
10/22/2018,130519
10/21/2018,25501
10/20/2018,21135
10/19/2018,27632
10/18/2018,32885
10/17/2018,31976
10/16/2018,33097
10/15/2018,32770
10/14/2018,21726
10/13/2018,19208
10/12/2018,27349
10/11/2018,30661
10/10/2018,31219
10/9/2018,33422
10/8/2018,34085
10/7/2018,22729
10/6/2018,19920
10/5/2018,28999
10/4/2018,33342
10/3/2018,32547
10/2/2018,32838
10/1/2018,33590
9/30/2018,21719
9/29/2018,20756
9/28/2018,27106
9/27/2018,29003
9/26/2018,30585
9/25/2018,32577
9/24/2018,33388
9/23/2018,24237
9/22/2018,21948
9/21/2018,28578
9/20/2018,31229
9/19/2018,31560
9/18/2018,32427
9/17/2018,33475
9/16/2018,22351
9/15/2018,21274
9/14/2018,28157
9/13/2018,31290
9/12/2018,32537
9/11/2018,32666
9/10/2018,33408
9/9/2018,22296
9/8/2018,21933
9/7/2018,29236
9/6/2018,34003
9/5/2018,34963
9/4/2018,36905
9/3/2018,27336
9/2/2018,26330
9/1/2018,25169
8/31/2018,31351
8/30/2018,34906
8/29/2018,34563
8/28/2018,34462
8/27/2018,36766
8/26/2018,26325
8/25/2018,26650
8/24/2018,33839
8/23/2018,37443
8/22/2018,34754
8/21/2018,34483
8/20/2018,35787
8/19/2018,25699
8/18/2018,25851
8/17/2018,32233
8/16/2018,35017
8/15/2018,40792
8/14/2018,36799
8/13/2018,42471
8/12/2018,30704
8/11/2018,24793
8/10/2018,31494
8/9/2018,39073
8/8/2018,36789
8/7/2018,36677
8/6/2018,38859
8/5/2018,26731
8/4/2018,26149
8/3/2018,33314
8/2/2018,37417
8/1/2018,38305
7/31/2018,38153
7/30/2018,39841
7/29/2018,19224
7/28/2018,28189
7/27/2018,34947
7/26/2018,35435
7/25/2018,36684
7/24/2018,37355
7/23/2018,38357
7/22/2018,26971
7/21/2018,26886
7/20/2018,33590
7/19/2018,35586
7/18/2018,37643
7/17/2018,37109
7/16/2018,38577
7/15/2018,26177
7/14/2018,26513
7/13/2018,33145
7/12/2018,37102
7/11/2018,36518
7/10/2018,36491
7/9/2018,37363
7/8/2018,27030
7/7/2018,25471
7/6/2018,33983
7/5/2018,38622
7/4/2018,31423
7/3/2018,40588
7/2/2018,39988
7/1/2018,28358
6/30/2018,26640
6/29/2018,34619
6/28/2018,40675
6/27/2018,37218
6/26/2018,38900
6/25/2018,39314
6/24/2018,27815
6/23/2018,26930
6/22/2018,34109
6/21/2018,36907
6/20/2018,36460
6/19/2018,37026
6/18/2018,37168
6/17/2018,23748
6/16/2018,25763
6/15/2018,33793
6/14/2018,38992
6/13/2018,39636
6/12/2018,40433
6/11/2018,41798
6/10/2018,28757
6/9/2018,27102
6/8/2018,34780
6/7/2018,36741
6/6/2018,38897
6/5/2018,41429
6/4/2018,42150
6/3/2018,30348
6/2/2018,30358
6/1/2018,36503
5/31/2018,40128
5/30/2018,39501
5/29/2018,42733
5/28/2018,33065
5/27/2018,31691
5/26/2018,29500
5/25/2018,34884
5/24/2018,35771
5/23/2018,34863
5/22/2018,38236
5/21/2018,38611
5/20/2018,18342
5/19/2018,24211
5/18/2018,31519
5/17/2018,36416
5/16/2018,37348
5/15/2018,38963
5/14/2018,37228
5/13/2018,23245
5/12/2018,23570
5/11/2018,31823
5/10/2018,33783
5/9/2018,34970
5/8/2018,35039
5/7/2018,38603
5/6/2018,25674
5/5/2018,22743
5/4/2018,29346
5/3/2018,31705
5/2/2018,32014
5/1/2018,33341
4/30/2018,35207
4/29/2018,23754
4/28/2018,22451
4/27/2018,29384
4/26/2018,33327
4/25/2018,33105
4/24/2018,34256
4/23/2018,35322
4/22/2018,21257
4/21/2018,20696
4/20/2018,29578
4/19/2018,32497
4/18/2018,36602
4/17/2018,35694
4/16/2018,35340
4/15/2018,23740
4/14/2018,22545
4/13/2018,30383
4/12/2018,33846
4/11/2018,35899
4/10/2018,36238
4/9/2018,35409
4/8/2018,20382
4/7/2018,21059
4/6/2018,29332
4/5/2018,33259
4/4/2018,37567
4/3/2018,35883
4/2/2018,37188
4/1/2018,20412
3/31/2018,22071
3/30/2018,29944
3/29/2018,34256
3/28/2018,34692
3/27/2018,35471
3/26/2018,36719
3/25/2018,24352
3/24/2018,23152
3/23/2018,31244
3/22/2018,37219
3/21/2018,39855
3/20/2018,40584
3/19/2018,43840
3/18/2018,26641
3/17/2018,24612
3/16/2018,29823
3/15/2018,32628
3/14/2018,34367
3/13/2018,35048
3/12/2018,38253
3/11/2018,23608
3/10/2018,24664
3/9/2018,33627
3/8/2018,42547
3/7/2018,34173
