"outcome","column1","column2","column3","column4"
2.62,160,110,3.9,16.46
2.875,160,110,3.9,17.02
2.32,108,93,3.85,18.61
3.215,258,110,3.08,19.44
3.44,360,175,3.15,17.02
3.46,225,105,2.76,20.22
3.57,360,245,3.21,15.84
3.19,146.7,62,3.69,20
3.15,140.8,95,3.92,22.9
3.44,167.6,123,3.92,18.3
3.44,167.6,123,3.92,18.9
4.07,275.8,180,3.07,17.4
3.73,275.8,180,3.07,17.6
3.78,275.8,180,3.07,18
5.25,472,205,2.93,17.98
5.424,460,215,3,17.82
5.345,440,230,3.23,17.42
2.2,78.7,66,4.08,19.47
1.615,75.7,52,4.93,18.52
1.835,71.1,65,4.22,19.9
2.465,120.1,97,3.7,20.01
3.52,318,150,2.76,16.87
3.435,304,150,3.15,17.3
3.84,350,245,3.73,15.41
3.845,400,175,3.08,17.05
1.935,79,66,4.08,18.9
2.14,120.3,91,4.43,16.7
1.513,95.1,113,3.77,16.9
3.17,351,264,4.22,14.5
2.77,145,175,3.62,15.5
3.57,301,335,3.54,14.6
2.78,121,109,4.11,18.6
